k,BIC,Model
1,-27317.85,EII
2,-24477.54,EII
3,-23210.21,EII
4,-22036.6,EII
5,-21552.25,EII
6,-20776.53,EII
7,-20584.18,EII
8,-20511.29,EII
9,-19053.73,EII
1,-27317.85,VII
2,-24297.09,VII
3,-22595.27,VII
4,-21632.58,VII
5,-20973.64,VII
6,-20284.93,VII
7,-19978,VII
8,-19167.3,VII
9,-18784.06,VII
1,-8161.277,EEI
2,-7534.454,EEI
3,-7125.409,EEI
4,-7055.498,EEI
5,-7020.252,EEI
6,-7061.42,EEI
7,-7035.599,EEI
8,-7009.017,EEI
9,-6994.586,EEI
1,-8161.277,VEI
2,-7553.132,VEI
3,-7064.677,VEI
4,-7013.651,VEI
5,-6975.153,VEI
6,-7006.001,VEI
7,-7014.476,VEI
8,-6988.216,VEI
9,-7065.386,VEI
1,-8161.277,EVI
2,-7439.904,EVI
3,-7024.171,EVI
4,-7052.843,EVI
5,-7107.418,EVI
6,-7174.521,EVI
7,-7213.751,EVI
8,-7193.507,EVI
9,-7215.003,EVI
1,-8161.277,VVI
2,-7495.929,VVI
3,-7003.083,VVI
4,-6993.482,VVI
5,-7040.502,VVI
6,-7121.949,VVI
7,-7223.132,VVI
8,-7227.379,VVI
9,-7236.389,VVI
1,-7201.005,EEE
2,-7138.354,EEE
3,-7026.454,EEE
4,-7012.548,EEE
5,-6991.994,EEE
6,-6999.586,EEE
7,-6969.427,EEE
8,-7017.699,EEE
9,-7051.988,EEE
1,-7201.005,EVE
2,-7099.057,EVE
3,-6889.493,EVE
4,-6873.644,EVE
5,-6936.533,EVE
6,NA,EVE
7,NA,EVE
8,NA,EVE
9,NA,EVE
1,-7201.005,VEE
2,-7077.38,VEE
3,-6962.54,VEE
4,-6942.956,VEE
5,-6938.099,VEE
6,-6933.303,VEE
7,NA,VEE
8,NA,VEE
9,NA,VEE
1,-7201.005,VVE
2,-7026.543,VVE
3,-6849.387,VVE
4,-6885.515,VVE
5,-6956.809,VVE
6,-7038.869,VVE
7,NA,VVE
8,NA,VVE
9,NA,VVE
1,-7201.005,EEV
2,-7327.931,EEV
3,-7320.631,EEV
4,-7520.405,EEV
5,-7859.509,EEV
6,-8236.358,EEV
7,-8514.452,EEV
8,-8814.663,EEV
9,-9188.482,EEV
1,-7201.005,VEV
2,-7228.524,VEV
3,-7250.142,VEV
4,-7484.248,VEV
5,-7825.693,VEV
6,-8125.135,VEV
7,-8502.934,VEV
8,-8733.728,VEV
9,-9039.186,VEV
1,-7201.005,EVV
2,-7181.367,EVV
3,-7284.777,EVV
4,-7562.514,EVV
5,-7895.372,EVV
6,-8313.839,EVV
7,NA,EVV
8,NA,EVV
9,NA,EVV
1,-7201.005,VVV
2,-7169.136,VVV
3,-7203.94,VVV
4,-7554.596,VVV
5,-7905.333,VVV
6,-8245.319,VVV
7,NA,VVV
8,NA,VVV
9,NA,VVV
